Ульяновский р-н,117
Гайворонский р-н,72
Петровский р-н,171
Новомиргородский р-н,203
Новоукраинский р-н,233
Кировоградский р-н,389
Ольшанский р-н,390
Голованевский р-н,434
Новоархангельский р-н,448
г.Кировоград,595
г.Знамянка,643
Добровеличковский р-н,662
Устиновский р-н,675
Долинский р-н,679
Компанеевский р-н,692
Новгородковский р-н,709
Маловисковский р-н,714
Александровский р-н,827
Бобринецкий р-н,902
Онуфриевский р-н,928
Александрийский р-н,947
Знаменский р-н,959
Александрия,970
